turfID;plotID;siteID;blockID;plot;OTC;treatment;precipitation_1960-1990;precipitation_2009-2019;temperature_1960-1990;temperature_2009-2019;coordinate_N;coordinate_E;elevation;slope;aspect
Gud_1_1;Gud_1_1;Gudmedalen;1;1;W;R;1925;2130;5,87;6,04;6049880;710301;1117;16;S/SW
Gud_1_2;Gud_1_2;Gudmedalen;1;2;W;N;1925;2130;5,87;6,04;6049880;710301;1117;17;S/SW
Gud_1_3;Gud_1_3;Gudmedalen;1;3;W;C;1925;2130;5,87;6,04;6049880;710301;1117;29;S/SW
Gud_1_4;Gud_1_4;Gudmedalen;1;4;C;E;1925;2130;5,87;6,04;6049879;710301;1117;17;S/SW
Gud_1_5;Gud_1_5;Gudmedalen;1;5;C;C;1925;2130;5,87;6,04;6049879;710302;1117;14;S/SW
Gud_1_6;Gud_1_6;Gudmedalen;1;6;C;N;1925;2130;5,87;6,04;6049879;710302;1117;21;S/SW
Gud_2_1;Gud_2_1;Gudmedalen;2;1;C;C;1925;2130;5,87;6,04;6049877;710521;1150;20;W
Gud_2_2;Gud_2_2;Gudmedalen;2;2;C;N;1925;2130;5,87;6,04;6049877;710521;1150;24;W
Gud_2_3;Gud_2_3;Gudmedalen;2;3;W;E;1925;2130;5,87;6,04;6049877;710520;1150;30;SW
Gud_2_4;Gud_2_4;Gudmedalen;2;4;W;C;1925;2130;5,87;6,04;6049877;710519;1150;22;W
Gud_3_1;Gud_3_1;Gudmedalen;3;1;C;R;1925;2130;5,87;6,04;6049876;710514;1150;4;S/SW
Gud_3_2;Gud_3_2;Gudmedalen;3;2;C;E;1925;2130;5,87;6,04;6049877;710516;1150;19;S/SW
Gud_3_3;Gud_3_3;Gudmedalen;3;3;C;N;1925;2130;5,87;6,04;6049877;710516;1150;22;S/SW
Gud_3_4;Gud_3_4;Gudmedalen;3;4;W;R;1925;2130;5,87;6,04;6049878;710512;1150;15;S
Gud_3_5;Gud_3_5;Gudmedalen;3;5;W;N;1925;2130;5,87;6,04;6049879;710514;1150;25;S
Gud_3_6;Gud_3_6;Gudmedalen;3;6;W;E;1925;2130;5,87;6,04;6049879;710512;1150;20;S
Gud_4_1;Gud_4_1;Gudmedalen;4;1;W;N;1925;2130;5,87;6,04;6049870;710405;1132;16;S/SW
Gud_4_2;Gud_4_2;Gudmedalen;4;2;W;R;1925;2130;5,87;6,04;6049869;710406;1132;19;S/SW
Gud_4_3;Gud_4_3;Gudmedalen;4;3;W;C;1925;2130;5,87;6,04;6049869;710405;1132;14;S/SW
Gud_4_4;Gud_4_4;Gudmedalen;4;4;C;C;1925;2130;5,87;6,04;6049871;710406;1132;16;SE
Gud_4_5;Gud_4_5;Gudmedalen;4;5;C;R;1925;2130;5,87;6,04;6049871;710406;1132;20;SE
Gud_4_6;Gud_4_6;Gudmedalen;4;6;C;E;1925;2130;5,87;6,04;6049871;710407;1132;26;S
Gud_5_1;Gud_5_1;Gudmedalen;5;1;W;E;1925;2130;5,87;6,04;6049871;710404;1132;16;S/SE
Gud_5_2;Gud_5_2;Gudmedalen;5;2;W;C;1925;2130;5,87;6,04;6049871;710405;1132;8;S/SE
Gud_5_3;Gud_5_3;Gudmedalen;5;3;W;R;1925;2130;5,87;6,04;6049871;710405;1132;17;S/SE
Gud_5_4;Gud_5_4;Gudmedalen;5;4;C;C;1925;2130;5,87;6,04;6049872;710400;1132;16;S
Gud_5_5;Gud_5_5;Gudmedalen;5;5;C;E;1925;2130;5,87;6,04;6049872;710402;1132;11;S
Gud_5_6;Gud_5_6;Gudmedalen;5;6;C;R;1925;2130;5,87;6,04;6049872;710403;1132;12;S
Gud_6_1;Gud_6_1;Gudmedalen;6;1;C;C;1925;2130;5,87;6,04;6049865;710337;1120;8;SW
Gud_6_2;Gud_6_2;Gudmedalen;6;2;C;R;1925;2130;5,87;6,04;6049864;710338;1120;18;SW
Gud_6_3;Gud_6_3;Gudmedalen;6;3;C;N;1925;2130;5,87;6,04;6049865;710336;1120;19;SW
Gud_6_4;Gud_6_4;Gudmedalen;6;4;W;N;1925;2130;5,87;6,04;6049864;710339;1120;17;SW
Gud_6_5;Gud_6_5;Gudmedalen;6;5;W;R;1925;2130;5,87;6,04;6049864;710338;1120;7;SW
Gud_6_6;Gud_6_6;Gudmedalen;6;6;W;E;1925;2130;5,87;6,04;6049864;710339;1120;13;SW
Gud_7_1;Gud_7_1;Gudmedalen;7;1;W;N;1925;2130;5,87;6,04;6049875;710299;1118;22;S/SW
Gud_7_2;Gud_7_2;Gudmedalen;7;2;W;E;1925;2130;5,87;6,04;6049875;710299;1118;18;S/SW
Gud_7_3;Gud_7_3;Gudmedalen;7;3;W;C;1925;2130;5,87;6,04;6049874;710298;1118;12;S/SW
Gud_7_4;Gud_7_4;Gudmedalen;7;4;C;E;1925;2130;5,87;6,04;6049875;710302;1118;20;S/SW
Gud_7_5;Gud_7_5;Gudmedalen;7;5;C;R;1925;2130;5,87;6,04;6049875;710301;1118;20;S/SW
Gud_7_6;Gud_7_6;Gudmedalen;7;6;C;N;1925;2130;5,87;6,04;6049875;710301;1118;13;S/SW
Lav_1_1;Lav_1_1;Lavisdalen;1;1;C;N;1320;1561;6,45;6,66;6049485;716738;1103;10;NW
Lav_1_2;Lav_1_2;Lavisdalen;1;2;C;E;1320;1561;6,45;6,66;6049485;716738;1103;17;NW
Lav_1_3;Lav_1_3;Lavisdalen;1;3;C;C;1320;1561;6,45;6,66;6049485;716738;1103;13;W/NW
Lav_1_4;Lav_1_4;Lavisdalen;1;4;W;E;1320;1561;6,45;6,66;6049485;716737;1103;24;SW
Lav_1_5;Lav_1_5;Lavisdalen;1;5;W;R;1320;1561;6,45;6,66;6049485;716737;1103;18;W
Lav_1_6;Lav_1_6;Lavisdalen;1;6;W;N;1320;1561;6,45;6,66;6049486;716736;1103;19;W
Lav_2_1;Lav_2_1;Lavisdalen;2;1;W;R;1320;1561;6,45;6,66;6049500;716769;1103;36;NW/W
Lav_2_2;Lav_2_2;Lavisdalen;2;2;W;E;1320;1561;6,45;6,66;6049500;716769;1103;33;NW
Lav_2_3;Lav_2_3;Lavisdalen;2;3;W;N;1320;1561;6,45;6,66;6049501;716768;1103;36;N
Lav_2_4;Lav_2_4;Lavisdalen;2;4;C;C;1320;1561;6,45;6,66;6049500;716769;1103;27;N
Lav_2_5;Lav_2_5;Lavisdalen;2;5;C;N;1320;1561;6,45;6,66;6049501;716768;1103;20;NW
Lav_2_6;Lav_2_6;Lavisdalen;2;5;C;E;1320;1561;6,45;6,66;6049501;716768;1103;30;N
Lav_3_1;Lav_3_1;Lavisdalen;3;1;C;E;1320;1561;6,45;6,66;6049501;716771;1103;23;W/NW
Lav_3_2;Lav_3_2;Lavisdalen;3;2;C;R;1320;1561;6,45;6,66;6049500;716771;1103;28;W/NW
Lav_3_3;Lav_3_3;Lavisdalen;3;3;C;N;1320;1561;6,45;6,66;6049500;716771;1103;20;NW
Lav_3_4;Lav_3_4;Lavisdalen;3;4;W;E;1320;1561;6,45;6,66;6049500;716771;1103;15;W
Lav_3_5;Lav_3_5;Lavisdalen;3;5;W;C;1320;1561;6,45;6,66;6049500;716771;1103;30;NW/W
Lav_3_6;Lav_3_6;Lavisdalen;3;6;W;N;1320;1561;6,45;6,66;6049501;716769;1103;24;W
Lav_4_1;Lav_4_1;Lavisdalen;4;1;W;N;1320;1561;6,45;6,66;6049503;716770;1103;18;NW/N
Lav_4_2;Lav_4_2;Lavisdalen;4;2;W;R;1320;1561;6,45;6,66;6049503;716771;1103;9;NW
Lav_4_3;Lav_4_3;Lavisdalen;4;3;W;C;1320;1561;6,45;6,66;6049503;716771;1103;20;NW
Lav_4_4;Lav_4_4;Lavisdalen;4;4;C;N;1320;1561;6,45;6,66;6049504;716773;1103;24;N
Lav_4_5;Lav_4_5;Lavisdalen;4;5;C;C;1320;1561;6,45;6,66;6049504;716773;1103;20;NW
Lav_4_6;Lav_4_6;Lavisdalen;4;6;C;R;1320;1561;6,45;6,66;6049504;716774;1103;32;N
Lav_5_1;Lav_5_1;Lavisdalen;5;1;W;R;1320;1561;6,45;6,66;6049505;716774;1103;27;NW
Lav_5_2;Lav_5_2;Lavisdalen;5;2;W;C;1320;1561;6,45;6,66;6049505;716774;1103;23;NW
Lav_5_3;Lav_5_3;Lavisdalen;5;3;W;E;1320;1561;6,45;6,66;6049505;716773;1103;22;NW
Lav_5_4;Lav_5_4;Lavisdalen;5;4;C;R;1320;1561;6,45;6,66;6049505;716777;1103;21;NW/W
Lav_5_5;Lav_5_5;Lavisdalen;5;5;C;C;1320;1561;6,45;6,66;6049505;716777;1103;17;W
Lav_5_6;Lav_5_6;Lavisdalen;5;6;C;E;1320;1561;6,45;6,66;6049505;716776;1103;26;W
Lav_6_1;Lav_6_1;Lavisdalen;6;1;W;R;1320;1561;6,45;6,66;6049515;716787;1103;14;W
Lav_6_2;Lav_6_2;Lavisdalen;6;2;W;C;1320;1561;6,45;6,66;6049514;716786;1103;28;W
Lav_6_3;Lav_6_3;Lavisdalen;6;3;W;N;1320;1561;6,45;6,66;6049513;716787;1103;34;W
Lav_6_4;Lav_6_4;Lavisdalen;6;4;C;R;1320;1561;6,45;6,66;6049515;716786;1103;26;W
Lav_6_5;Lav_6_5;Lavisdalen;6;5;C;C;1320;1561;6,45;6,66;6049516;716786;1103;18;W
Lav_6_6;Lav_6_6;Lavisdalen;6;6;C;E;1320;1561;6,45;6,66;6049517;716784;1103;38;W
Lav_7_1;Lav_7_1;Lavisdalen;7;1;W;C;1320;1561;6,45;6,66;6049515;716787;1103;35;W
Lav_7_2;Lav_7_2;Lavisdalen;7;2;W;E;1320;1561;6,45;6,66;6049515;716786;1103;37;W
Lav_7_3;Lav_7_3;Lavisdalen;7;3;C;N;1320;1561;6,45;6,66;6049514;716785;1103;32;W
Lav_7_4;Lav_7_4;Lavisdalen;7;4;C;R;1320;1561;6,45;6,66;6049514;716785;1103;32;W
Skj_1_1;Skj_1_1;Skjellingahaugen;1;1;C;N;2725;3402;6,58;6,83;6055979;624917;1142;30;S/E
Skj_1_2;Skj_1_2;Skjellingahaugen;1;2;C;R;2725;3402;6,58;6,83;6055979;624918;1142;40;S/E
Skj_1_3;Skj_1_3;Skjellingahaugen;1;3;C;C;2725;3402;6,58;6,83;6055979;624917;1142;20;SE
Skj_1_4;Skj_1_4;Skjellingahaugen;1;4;W;C;2725;3402;6,58;6,83;6055980;624919;1142;18;SE
Skj_1_5;Skj_1_5;Skjellingahaugen;1;5;W;N;2725;3402;6,58;6,83;6055981;624919;1142;35;SE
Skj_1_6;Skj_1_6;Skjellingahaugen;1;6;W;R;2725;3402;6,58;6,83;6055980;624919;1142;31;SE
Skj_2_1;Skj_2_1;Skjellingahaugen;2;1;W;E;2725;3402;6,58;6,83;6055981;624903;1142;8;S/SE
Skj_2_2;Skj_2_2;Skjellingahaugen;2;2;W;N;2725;3402;6,58;6,83;6055981;624902;1142;10;S/SE
Skj_2_3;Skj_2_3;Skjellingahaugen;2;3;W;R;2725;3402;6,58;6,83;6055980;624903;1142;16;S/SE
Skj_2_4;Skj_2_4;Skjellingahaugen;2;4;C;R;2725;3402;6,58;6,83;6055981;624903;1142;20;S/SE
Skj_2_5;Skj_2_5;Skjellingahaugen;2;5;C;N;2725;3402;6,58;6,83;6055980;624904;1142;22;S/SE
Skj_2_6;Skj_2_6;Skjellingahaugen;2;6;C;E;2725;3402;6,58;6,83;6055980;624905;1142;28;S/SE
Skj_3_1;Skj_3_1;Skjellingahaugen;3;1;W;N;2725;3402;6,58;6,83;6055981;624898;1142;18;S
Skj_3_2;Skj_3_2;Skjellingahaugen;3;2;W;R;2725;3402;6,58;6,83;6055982;624899;1142;30;S
Skj_3_3;Skj_3_3;Skjellingahaugen;3;3;W;E;2725;3402;6,58;6,83;6055981;624898;1142;18;S
Skj_3_4;Skj_3_4;Skjellingahaugen;3;4;C;E;2725;3402;6,58;6,83;6055979;624897;1142;16;S
Skj_3_5;Skj_3_5;Skjellingahaugen;3;5;C;R;2725;3402;6,58;6,83;6055978;624898;1142;28;S
Skj_3_6;Skj_3_6;Skjellingahaugen;3;6;C;C;2725;3402;6,58;6,83;6055979;624898;1142;28;S
Skj_4_1;Skj_4_1;Skjellingahaugen;4;1;W;N;2725;3402;6,58;6,83;6055979;624894;1142;12;S
Skj_4_2;Skj_4_2;Skjellingahaugen;4;2;W;C;2725;3402;6,58;6,83;6055979;624894;1142;10;S
