type,OTC,year,treatment,f_flux_ave,f_flux_sd,f_flux_n,f_flux_se,par_ave,par_sd,par_n,par_se
ER,W,2020,C,0.08262741757189138,0.13361955541304202,45,0.01991882726845746,0.8234480924603175,0.5447936767943377,45,0.08121304633494592
GPP,W,2020,C,-0.06934821869214897,0.06427474489692973,45,0.009581513255066173,579.944609047619,472.30430658924905,45,70.40696903996418
NEE,W,2020,C,0.013279198879742405,0.1509897985265438,45,0.0225082302276233,579.944609047619,472.30430658924905,45,70.40696903996418
ER,C,2020,C,0.054265110670146215,0.04048779400578302,45,0.0060355639770626225,0.985633626058201,0.8086673939042724,45,0.12054901759717014
GPP,C,2020,C,-0.07901278868840261,0.06073125186293592,45,0.009053280501612363,737.5679411375661,585.2434369716399,45,87.24294056361336
NEE,C,2020,C,-0.024747678018256402,0.0517833021864023,45,0.007719398919213935,737.5679411375661,585.2434369716399,45,87.24294056361336
GPP,C,2022,C,-0.09893059262685672,0.04723686808689223,15,0.01219650689516868,745.9458035714285,511.68485872239654,14,136.7535308099311
NEE,C,2022,C,-0.02657499169029516,0.03908248176854844,15,0.010091053401202874,745.9458035714285,511.68485872239654,14,136.7535308099311
ER,C,2022,C,0.07235560093656156,0.02910837351671144,15,0.0075157497243605615,1.3755,0.8661611993239398,15,0.22364186000751077
GPP,W,2022,C,-0.0857128283166533,0.06490509224570037,14,0.017346615560026347,625.6152992424243,498.00852474699326,15,128.58524817429526
NEE,W,2022,C,-0.017344828394054834,0.03808145519050606,15,0.009832589450144931,625.6152992424243,498.00852474699326,15,128.58524817429526
ER,W,2022,C,0.06762651910100526,0.05900314026225525,14,0.015769252543223308,1.5161666666666667,0.8148038376804625,15,0.2103814462508215
